xAcc, yAcc, zAcc, xGyro, yGyro, zGyro, steeringPercent, acceleratorPercent, coures, targetCourse
-1124,-396,13348,2,23,194,10,-2,0,0
-944,-432,13456,26,51,194,10,-2,0,0
-1200,-452,13436,26,3,197,10,-2,0,0
-1112,-488,13476,28,28,204,10,-2,0,0
-1068,-428,13300,44,42,200,10,0,0,0
-1100,-472,13408,26,-12,200,10,-2,0,0
-1028,-456,13528,40,46,207,10,-2,0,0
-1076,-412,13248,23,37,198,10,-2,0,0
-1112,-400,13480,33,10,208,10,-2,0,0
-1180,-444,13400,24,6,204,10,0,0,0
-964,-456,13448,28,14,207,10,0,0,0
-1020,-416,13340,38,7,215,10,0,0,0
-1248,-416,13408,21,14,168,10,0,0,0
-1164,-388,13364,32,27,209,10,-2,0,0
-1144,-452,13552,31,22,187,10,-2,0,0
-1124,-436,13448,20,32,177,10,-2,0,0
-996,-436,13400,37,17,209,10,-2,0,0
-1044,-484,13468,30,21,197,10,-2,0,0
-1124,-424,13484,14,42,197,10,-2,0,0
-1060,-408,13320,18,37,201,10,-2,0,0
-1052,-340,13408,14,11,206,10,-2,0,0
-1024,-352,13320,20,8,212,10,-2,0,0
-1136,-404,13144,7,33,204,10,-2,0,0
-1120,-444,13388,46,28,213,10,0,0,0
-1220,-416,13544,37,10,202,10,0,0,0
-1048,-472,13232,2,13,192,10,-2,0,0
-1088,-436,13228,33,12,201,10,0,0,0
-1080,-376,13392,41,22,183,10,0,0,0
-1024,-440,13452,50,27,205,10,0,0,0
-1044,-488,13472,38,42,211,10,0,0,0
-1132,-468,13396,20,22,190,10,0,0,0
-1032,-496,13460,18,17,189,10,-2,0,0
-1024,-440,13480,39,-1,189,10,0,0,0
-1072,-356,13384,10,24,183,10,0,0,0
-980,-536,13336,25,23,192,10,0,0,0
-1056,-500,13348,48,13,185,10,0,0,0
-1032,-512,13272,39,12,198,10,0,0,0
-1176,-516,13380,39,9,200,10,0,0,0
-1104,-396,13492,40,37,196,10,0,0,0
-1128,-336,13348,44,40,211,10,0,0,0
-1044,-448,13424,47,17,176,10,0,0,0
-1188,-440,13332,17,25,199,10,-2,0,0
-928,-384,13352,35,3,197,10,-2,0,0
-1088,-432,13352,8,22,198,10,-2,0,0
-1008,-440,13492,20,7,197,10,-2,0,0
-1048,-468,13396,37,-18,199,10,-2,0,0
-988,-456,13208,26,-1,197,10,0,0,0
-1020,-480,13360,29,1,197,10,0,0,0
-1108,-492,13356,51,22,181,10,0,0,0
-1016,-392,13400,42,26,202,10,-2,0,0
-1152,-488,13464,23,17,204,10,-2,0,0
-1116,-392,13460,36,4,196,10,0,0,0
-1164,-340,13308,24,23,189,10,0,0,0
-1004,-444,13460,27,22,203,10,0,0,0
-1072,-420,13264,41,10,198,10,-2,0,0
-1028,-432,13368,27,7,194,10,-2,0,0
-1012,-476,13328,29,14,178,10,-2,0,0
-1052,-364,13312,16,17,194,10,-2,0,0
-1108,-432,13296,22,13,190,10,-2,0,0
-1088,-416,13320,33,-2,210,10,-2,0,0
-1220,-424,13344,23,5,193,10,-2,0,0
-1044,-528,13452,25,31,191,10,-2,0,0
-1036,-388,13288,17,6,211,10,-2,0,0
-1164,-420,13260,19,3,192,10,0,0,0
-1092,-408,13348,17,7,184,10,-2,0,0
-968,-400,13432,37,38,201,10,-2,0,0
-956,-476,13496,28,19,198,10,-2,0,0
-1080,-508,13356,24,12,187,10,-2,0,0
-1188,-412,13344,27,2,199,10,-2,0,0
-1088,-404,13384,40,12,202,10,-2,0,0
-1208,-400,13416,40,18,193,10,-2,0,0
-1044,-400,13480,44,4,195,10,0,0,0
-1088,-432,13236,39,46,198,10,-2,0,0
-992,-420,13312,67,-10,207,10,-2,0,0
-1132,-360,13344,15,48,182,10,-2,0,0
-1016,-412,13280,50,49,200,10,0,0,0
-1020,-512,13516,33,18,203,10,-2,0,0
-1132,-408,13584,38,24,194,10,-2,0,0
-1012,-396,13240,25,36,216,10,0,0,0
-1080,-432,13236,25,24,197,10,0,0,0
-956,-444,13236,44,-3,200,10,-2,0,0
-1008,-492,13464,43,5,204,10,-2,0,0
-1080,-564,13416,14,40,194,10,-2,0,0
-1156,-492,13564,10,33,212,10,0,0,0
-1172,-456,13336,40,10,199,10,0,0,0
-1088,-544,13456,38,-4,195,10,0,0,0
-1076,-420,13292,44,35,204,10,0,0,0
-1088,-388,13264,36,24,211,10,0,0,0
-1020,-408,13188,38,1,200,10,0,0,0
-1092,-476,13388,37,5,183,10,0,0,0
-1088,-512,13436,21,29,212,10,0,0,0
-1032,-376,13472,18,31,192,10,0,0,0
-1084,-520,13356,17,13,198,10,0,0,0
-1092,-384,13200,30,-1,211,10,0,0,0
-1052,-572,13424,45,30,170,10,-1,0,0
-992,-428,13536,60,-18,204,10,-1,0,0
-1088,-400,13252,19,-10,184,10,-1,0,0
-1124,-428,13368,21,20,203,10,0,0,0
-1048,-348,13372,25,-6,197,10,-1,0,0
-1068,-452,13376,38,1,219,10,-1,0,0
-1088,-360,13320,-13,13,201,10,0,0,0
-1072,-452,13316,13,11,214,10,0,0,0
-1044,-468,13368,43,28,177,10,0,0,0
-1028,-484,13408,22,-13,183,10,0,0,0
-1048,-464,13252,8,5,192,10,0,0,0
-1020,-512,13312,25,26,213,10,-1,0,0
-1128,-440,13492,43,-1,192,10,-1,0,0
-972,-460,13448,44,37,186,10,-2,0,0
-1064,-436,13312,40,31,211,10,-2,0,0
-1064,-312,13356,1,11,204,10,0,0,0
-1116,-416,13376,30,26,178,10,0,0,0
-1108,-464,13380,6,14,205,10,0,0,0
-1152,-428,13260,54,2,199,10,0,0,0
-1016,-500,13364,49,-5,195,10,0,0,0
-984,-392,13464,27,18,199,10,0,0,0
-1000,-520,13356,21,23,205,10,0,0,0
-1052,-448,13400,16,6,184,10,0,0,0
-980,-456,13368,31,38,209,10,0,0,0
-1036,-356,13440,36,29,193,10,-2,0,0
-1060,-444,13436,27,8,186,10,-2,0,0
-972,-512,13428,21,13,192,10,-2,0,0
-1160,-432,13448,21,4,204,10,0,0,0
-1116,-488,13248,35,37,192,10,0,0,0
-1168,-456,13368,23,8,208,10,-2,0,0
-1012,-448,13600,16,20,203,10,0,0,0
-1012,-440,13408,24,14,210,10,0,0,0
-968,-532,13488,30,13,205,10,-2,0,0
-1092,-548,13352,19,8,202,10,0,0,0
-1096,-420,13236,14,1,218,10,0,0,0
-1024,-420,13472,29,44,190,10,-2,0,0
-1124,-388,13264,25,12,204,10,-2,0,0
-1192,-364,13316,33,9,204,10,-2,0,0
-1008,-356,13428,13,3,195,10,-2,0,0
-1012,-488,13416,-5,36,184,10,0,0,0
-1164,-476,13284,42,22,199,10,-2,0,0
-1032,-464,13324,55,57,204,10,-2,0,0
-1108,-392,13440,38,-1,185,10,0,0,0
-1040,-412,13396,33,7,196,10,-2,0,0
-1080,-436,13312,23,29,202,10,-2,0,0
-1132,-440,13516,43,8,177,10,-2,0,0
-1140,-400,13344,48,13,190,10,-2,0,0
-1044,-412,13348,38,35,204,10,0,0,0
-1056,-492,13192,6,3,211,10,0,0,0
-1084,-376,13412,18,32,197,10,0,0,0
-1216,-496,13528,22,9,179,10,0,0,0
-1028,-588,13388,34,5,194,10,-2,0,0
-1124,-432,13372,24,23,202,10,0,0,0
-992,-360,13256,26,14,203,10,0,0,0
-1060,-380,13272,20,45,197,10,0,0,0
-1020,-440,13408,40,27,193,10,0,0,0
-1048,-376,13312,39,31,209,10,-2,0,0
-1084,-448,13396,36,32,191,10,-2,0,0
-1068,-420,13384,40,27,190,10,0,0,0
-1104,-396,13396,37,39,195,10,0,0,0
-1208,-408,13320,43,26,192,10,0,0,0
-1120,-368,13408,23,13,176,10,0,0,0
-1052,-508,13328,42,15,178,10,0,0,0
-1112,-436,13476,26,16,202,10,-2,0,0
-952,-412,13420,57,15,182,10,-2,0,0
-1000,-420,13444,43,22,182,10,0,0,0
-1120,-328,13536,45,13,201,10,0,0,0
-1168,-408,13380,14,21,213,10,-2,0,0
-1116,-436,13360,47,7,203,10,-2,0,0
-1300,-452,13380,18,18,202,10,0,0,0
-1064,-424,13384,33,39,193,10,0,0,0
-1088,-404,13484,42,7,207,10,-2,0,0
-1048,-396,13348,43,18,206,10,-2,0,0
-972,-476,13320,18,27,213,10,-2,0,0
-1128,-432,13456,34,27,192,10,-2,0,0
-1076,-432,13336,38,35,183,10,0,0,0
-1008,-476,13532,31,11,209,10,-2,0,0
-1068,-388,13340,32,30,191,10,0,0,0
-1044,-416,13332,26,-6,203,10,0,0,0
-1156,-356,13420,37,9,193,10,0,0,0
-1040,-508,13432,44,14,196,10,0,0,0
-1096,-488,13356,34,44,209,10,0,0,0
-1172,-472,13520,49,32,197,10,0,0,0
